"","trackCensoredName","price","trackId","iphone","ipad","primaryGenreId","genreIds","formattedPrice","averageUserRating","userRatingCount"
"1","Spidertracks",0,359184271,1,1,6000,"6000,6002,","Free",2.5,24
"2","Free RevPAR Calculator",0,361211068,1,1,6000,"6000,6007,","Free",4,24
"3","중소벤처기업부 입찰정보",0,371825723,1,1,6000,"6000,6015,","Free",4,24
"4","Silent Passenger",0,371929620,1,1,6000,"6000,6007,","Free",3.5,24
"5","BLR Employees",0,377709052,1,1,6000,"6000,6007,","Free",4,24
"6","MarketBook",0,379310407,1,1,6000,"6000,6012,","Free",5,24
"7","Jituzu",0,380846837,1,1,6000,"6000,6007,","Free",3,24
"8","iMatchColor",0,384354108,1,1,6000,"6000,6006,","Free",2,24
"9","myFocus Mobile",0,388340039,1,1,6000,"6000,6007,","Free",3.5,24
"10","PRI Magazine",0,392771325,1,1,6000,"6000,6004,","Free",3,24
"11","OnSite PlanRoom",0,394774697,1,1,6000,"6000,6007,","Free",4.5,24
"12","Automarkt Schweiz",0,395933148,1,1,6000,"6000,6012,","Free",4,24
"13","GroupSMS Go",0.99,404542422,1,1,6000,"6000,6007,","0.99 USD",4,24
"14","مزاد",0,412917294,1,1,6000,"6000,6005,","Free",3.5,24
"15","Car Check",0,417605520,1,1,6000,"6000,6002,","Free",4,24
"16","eCat: Sales Rep",0,428032907,0,1,6000,"6000,","Free",4,24
"17","To-do/タスク管理",0,428881648,1,1,6000,"6000,6002,","無料",3,24
"18","Laserfiche",0,440318265,1,1,6000,"6000,6007,","Free",4,24
"19","EasyConnect",0,440460214,1,1,6000,"6000,","Free",3,24
"20","SuperLive",0,451084162,1,1,6000,"6000,6008,","Free",2.5,24
"21","Xavy-HD",99.99,467936916,0,1,6000,"6000,6007,","99.99 USD",3,24
"22","V Snapshot",0,480690469,1,1,6000,"6000,","Free",4,24
"23","Sophos Mobile Control",0,481992265,1,1,6000,"6000,6007,","Free",3,24
"24","EDF recrute",0,482014436,1,1,6000,"6000,","Free",4.5,24
"25","ZKANJI 漢字拡大",0,486234856,1,1,6000,"6000,6017,","無料",4,24
"26","Mic Out - Airplay Edition",1.99,499360353,1,1,6000,"6000,6016,","1.99 USD",1.5,24
"27","Business Ledger",0.99,505092339,1,1,6000,"6000,6015,","0.99 USD",1.5,24
"28","iKeyPurse Lite",0,509777131,1,1,6000,"6000,6002,","Free",4,24
"29","SEVENROOMS",0,516418638,1,1,6000,"6000,6023,","Free",4.5,24
"30","Gunsmoke Guns",0,520206661,1,1,6000,"6000,6017,","Free",4,24
"31","Level 3 Web Meeting",0,523656641,0,1,6000,"6000,6007,","Free",3.5,24
"32","Fortune Magazine India",0,525469168,1,1,6000,"6000,6021,","Free",3,24
"33","TruQC",0,530703562,0,1,6000,"6000,6007,","Free",4.5,24
"34","WI Listings",0,533975954,1,1,6000,"6000,6010,","Free",3.5,24
"35","Voip One Click",0,547873955,1,1,6000,"6000,6002,","Free",3.5,24
"36","GrainCorp",0,550937198,1,1,6000,"6000,","Free",3,24
"37","Applied Mobile",0,553043007,1,1,6000,"6000,6007,","Free",3.5,24
"38","Mobile Farm Manager",0,557933250,1,1,6000,"6000,","Free",3.5,24
"39","Pass Scanner and Verifier for Apple Wallet (Passbook)",0,578661564,1,1,6000,"6000,6002,","Free",1.5,24
"40","FirstEnergy",0,589673890,1,1,6000,"6000,6002,","Free",2.5,24
"41","Dictaphone",0,590359215,1,1,6000,"6000,6007,","Free",3,24
"42","حساباتي الشخصية-Mycalculations",9.99,591015228,1,1,6000,"6000,","9.99 USD",3.5,24
"43","StarPhone",0,591157191,1,1,6000,"6000,6007,","Free",3.5,24
"44","AdStage-Your Analytics Dashboard for Google AdWords",0,604206779,0,1,6000,"6000,6007,","Free",2.5,24
"45","Commvault Edge",0,604246090,1,1,6000,"6000,6007,","Free",5,24
"46","Workspot",0,617012477,1,1,6000,"6000,6007,","Free",5,24
"47","NQ EasyFinder",0,633258882,1,1,6000,"6000,6002,","Free",4,24
"48","Misc.info APP about VC, SEO, Marketing, Domains, Cars, Collectables & Travel from Stephen Noton an SEO Consultant",0,633456523,1,1,6000,"6000,6006,","Free",4.5,24
"49","iBusinessApp",4.99,636495242,1,1,6000,"6000,6015,","$4.99",4.5,24
"50","Virtual Environments",0,645822140,1,1,6000,"6000,","Free",2,24
"51","BigTime Mobile",0,653169490,1,1,6000,"6000,6007,","Free",3,24
"52","SureMobile",0,656746421,1,1,6000,"6000,6015,","Free",3,24
"53","SmartHDP2P",0,662859966,1,1,6000,"6000,6008,","Free",2.5,24
"54","Работа поиск вакансий SuperJob",0,663226401,1,1,6000,"6000,6012,","Free",4.5,24
"55","CCC ONE Mobile Appraiser",0,665376855,1,1,6000,"6000,","Free",2.5,24
"56","Command Center – Sunbelt Rentals",0,668713374,1,1,6000,"6000,6007,","Free",3.5,24
"57","MobileIron Go",0,672836503,1,1,6000,"6000,6007,","Free",4,24
"58","Hilton Head MLS",0,723795181,1,1,6000,"6000,6012,","Free",4.5,24
"59","AllianzAyudhya-QuoteExpress",0,732763761,1,1,6000,"6000,6015,","Free",3,24
"60","EMC Architect",0,777962186,0,1,6000,"6000,","Free",5,24
"61","WinMail DAT Viewer Pro",1.99,870736475,1,1,6000,"6000,6002,","1.99 USD",3,24
"62","Real Estate SMART Dictionary",0,878603552,1,1,6000,"6000,6006,","Free",4,24
"63","Vtiger CRM for iPad",0,881484505,0,1,6000,"6000,6007,","Free",2.5,24
"64","GoCJMLS",0,881647479,1,1,6000,"6000,6012,","Free",3,24
"65","Tiny Home Estimation",4.99,898952318,1,1,6000,"6000,6017,","4.99 USD",4.5,24
"66","PDF Studio Editor",1.99,899313582,1,1,6000,"6000,6002,","1.99 USD",3,24
"67","Luxury Newport Beach Real Estate",0,900285631,1,1,6000,"6000,6015,","Free",5,24
"68","Dividender - Compound Interest",1.99,906581982,1,1,6000,"6000,6015,","1.99 USD",3.5,24
"69","FEGA & Schmitt",0,915746911,1,1,6000,"6000,","Free",4.5,24
"70","Conference Call Auto Dialer",3.99,915928598,1,1,6000,"6000,6007,","3.99 USD",3.5,24
"71","Clarizen Inc.",0,922044371,1,1,6000,"6000,6007,","Free",4,24
"72","Tigerpaw Mobile",0,923428367,1,1,6000,"6000,6007,","Free",3,24
"73","Online Sales Pro",0,931646630,1,1,6000,"6000,","Free",4,24
"74","Cashew Secure Messenger",0,943827145,1,1,6000,"6000,6005,","Free",4.5,24
"75","SAP Jam",0,947137111,1,1,6000,"6000,","Free",4,24
"76","DIY Wedding Planner",0,961137479,1,1,6000,"6000,","Free",4,24
"77","Selling Services on Amazon",0,988788863,1,1,6000,"6000,6007,","Free",2,24
"78","Visitor Registration - Visitor Sign In",0,1004484128,1,1,6000,"6000,6007,","Free",3,24
"79","Ez ADU KPDNKK",0,1012529241,1,1,6000,"6000,6012,","Free",1.5,24
"80","Password Manager Fingerprint Password Secure Vault",0.99,1020805660,1,1,6000,"6000,6002,","0.99 USD",3,24
"81","CallRail",0,1040169819,1,1,6000,"6000,6007,","Free",3.5,24
"82","Zurich México",0,1048943570,1,1,6000,"6000,6015,","Free",1.5,24
"83","Revel Insights",0,1050942994,1,1,6000,"6000,6015,","Free",1.5,24
"84","iCIMS Mobile Hiring Manager",0,1053261799,1,1,6000,"6000,6002,","Free",3.5,24
"85","New Catcheye Plus",0,1055210586,1,1,6000,"6000,","Free",1.5,24
"86","Coloring Christmas - Drawing Me Prime Recolor Book Now",0,1065783063,1,1,6000,"6000,6015,","Free",4.5,24
"87","ADT캡스 고객센터",0,1066083453,1,1,6000,"6000,","Free",2.5,24
"88","钉铛-专业销售签单神器",0,1066093207,1,1,6000,"6000,6002,","Free",5,24
"89","福佑经纪人",0,1066641680,1,1,6000,"6000,6002,","Free",4.5,24
"90","راس گیر چک سایه: محاسبه رأس چک و فاکتور",0,1070877179,1,1,6000,"6000,6002,","Free",4,24
"91","SamCard HD",0,1073517881,0,1,6000,"6000,6007,","Free",4.5,24
"92","全房通",0,1079836146,1,1,6000,"6000,","Free",3.5,24
"93","What's My Credit Status?",0,1090291833,1,1,6000,"6000,","Free",5,24
"94","SARA Plus",0,1096641008,1,1,6000,"6000,","Free",4,24
"95","PayU Biz",0,1103984590,1,1,6000,"6000,6024,","Free",3.5,24
"96","PrecisionFlight for DJI Drones",0,1112592228,1,1,6000,"6000,","Free",3.5,24
"97","盼盼 - 便捷生活千万家",0,1130946511,1,1,6000,"6000,","Free",2.5,24
"98","The BLK App",0,1131406894,1,1,6000,"6000,","Free",5,24
"99","MetLife Brasil",0,1132317868,1,1,6000,"6000,6015,","Free",2.5,24
"100","Field Engineer",0,1147116800,1,1,6000,"6000,","Free",2.5,24
"101","Jobfox - Nebenjob & Job in 24h",0,1157931876,1,1,6000,"6000,6002,","Free",3.5,24
"102","Act! Companion",0,1167654821,1,1,6000,"6000,6007,","Free",2,24
"103","2Sale",0,1171792988,1,1,6000,"6000,6002,","Free",4,24
"104","DigiSales",0,1174533005,1,1,6000,"6000,6007,","Free",3,24
"105","Castifi",0,1176896442,1,1,6000,"6000,6016,","Free",4.5,24
"106","礼膳-商宴通",0,1184792606,1,1,6000,"6000,6015,","Free",2,24
"107","MyGeotab Fleet Management",0,1188496424,1,1,6000,"6000,6003,","Free",2,24
"108","Call Plus - 2nd Line",0,1189911819,1,1,6000,"6000,6002,","Free",3,24
